Date,Service_Type,Resource_ID,Region,Usage_Quantity,Cost,Usage_Type,Account,Owner,Resource_State
2023-01-01 02:00:00,Lambda,i-87654321,us-east-1,61.67,4398.92,Reserved,Dept_B,User_3,Stopped
2023-01-01 03:00:00,DynamoDB,bucket-12345,ap-southeast-1,17.11,2126.54,On-Demand,Dept_D,User_3,Terminated
2023-01-01 04:00:00,DynamoDB,bucket-12345,us-east-1,68.67,2068.36,On-Demand,Dept_B,User_2,Running
2023-01-01 06:00:00,Lambda,vol-12345678,us-east-1,51.79,4384.75,Reserved,Dept_C,User_1,Stopped
2023-01-01 07:00:00,Lambda,i-87654321,eu-central-1,3.13,2739.15,Reserved,Dept_B,User_4,Running
2023-01-01 09:00:00,DynamoDB,i-87654321,us-west-2,83.56,3308.71,Reserved,Dept_D,User_1,Stopped
2023-01-01 10:00:00,RDS,i-87654321,eu-central-1,61.98,1501.5,Reserved,Dept_D,User_2,Terminated
2023-01-01 13:00:00,DynamoDB,vol-12345678,eu-central-1,61.87,4927.44,Reserved,Dept_B,User_2,Running
2023-01-01 16:00:00,VPC,bucket-12345,eu-central-1,46.88,2140.7,Reserved,Dept_A,User_2,Terminated
2023-01-01 17:00:00,VPC,i-12345678,us-east-1,68.05,3298.28,Spot,Dept_D,User_3,Running
2023-01-01 18:00:00,S3,vol-12345678,ap-southeast-1,62.18,1932.13,Reserved,Dept_C,User_5,Stopped
2023-01-01 19:00:00,RDS,i-87654321,eu-central-1,70.26,4998.19,Spot,Dept_C,User_2,Stopped
2023-01-01 21:00:00,EC2,bucket-12345,us-east-1,51.32,40.12,Spot,Dept_C,User_4,Running
2023-01-01 23:00:00,S3,vol-12345678,us-east-1,49.78,4434.27,On-Demand,Dept_C,User_1,Terminated
2023-01-02 00:00:00,VPC,i-12345678,ap-southeast-1,95.67,726.17,On-Demand,Dept_D,User_1,Running
2023-01-02 02:00:00,RDS,bucket-12345,us-west-2,17.2,2096.67,Spot,Dept_B,User_2,Running
2023-01-02 03:00:00,EC2,vol-12345678,eu-central-1,82.98,3328.79,On-Demand,Dept_B,User_2,Terminated
2023-01-02 04:00:00,EC2,bucket-12345,ap-southeast-1,55.2,273.45,Reserved,Dept_C,User_2,Running
2023-01-02 05:00:00,Lambda,i-87654321,ap-southeast-1,98.45,3293.92,On-Demand,Dept_B,User_3,Terminated
2023-01-02 06:00:00,Lambda,bucket-12345,us-east-1,71.91,1774.08,Reserved,Dept_A,User_1,Running
2023-01-02 07:00:00,S3,i-87654321,eu-central-1,8.53,4630.23,Spot,Dept_A,User_1,Terminated
2023-01-02 08:00:00,RDS,i-12345678,eu-central-1,39.56,4244.51,On-Demand,Dept_D,User_4,Terminated
2023-01-02 10:00:00,VPC,i-87654321,us-west-2,83.92,4964.46,Reserved,Dept_C,User_1,Terminated
2023-01-02 12:00:00,VPC,bucket-12345,us-east-1,37.0,3943.27,Reserved,Dept_A,User_1,Running
2023-01-02 15:00:00,RDS,i-12345678,us-east-1,12.69,851.08,On-Demand,Dept_B,User_3,Running
2023-01-02 16:00:00,EC2,vol-12345678,us-east-1,23.56,2574.64,Spot,Dept_C,User_2,Running
2023-01-02 21:00:00,EC2,i-12345678,us-west-2,87.32,3037.0,On-Demand,Dept_C,User_2,Stopped
2023-01-02 22:00:00,S3,bucket-12345,us-west-2,28.97,3732.15,On-Demand,Dept_D,User_5,Running
2023-01-03 01:00:00,RDS,bucket-12345,us-east-1,47.59,3.87,Spot,Dept_A,User_4,Running
2023-01-03 02:00:00,VPC,i-87654321,eu-central-1,51.47,1829.12,On-Demand,Dept_B,User_1,Terminated
2023-01-03 04:00:00,S3,i-87654321,ap-southeast-1,60.9,2889.71,Spot,Dept_A,User_4,Terminated
2023-01-03 05:00:00,EC2,bucket-12345,us-east-1,72.33,3637.65,On-Demand,Dept_D,User_3,Terminated
2023-01-03 09:00:00,RDS,i-12345678,us-west-2,19.64,2704.94,Spot,Dept_D,User_2,Stopped
2023-01-03 10:00:00,RDS,vol-12345678,eu-central-1,73.03,4254.77,On-Demand,Dept_C,User_2,Stopped
2023-01-03 12:00:00,RDS,vol-12345678,us-west-2,64.91,3494.44,Spot,Dept_D,User_1,Terminated
2023-01-03 14:00:00,Lambda,i-12345678,us-east-1,92.69,3086.27,On-Demand,Dept_A,User_1,Terminated
2023-01-03 16:00:00,EC2,i-12345678,eu-central-1,26.66,4204.67,Reserved,Dept_C,User_1,Terminated
2023-01-03 18:00:00,S3,i-87654321,us-west-2,69.24,1118.03,Reserved,Dept_D,User_2,Terminated
2023-01-03 21:00:00,VPC,bucket-12345,us-east-1,23.34,3128.72,On-Demand,Dept_C,User_4,Stopped
2023-01-03 23:00:00,VPC,vol-12345678,eu-central-1,92.13,935.91,Spot,Dept_B,User_2,Stopped
2023-01-04 00:00:00,S3,vol-12345678,us-west-2,18.41,3051.27,Reserved,Dept_A,User_2,Stopped
2023-01-04 02:00:00,VPC,i-87654321,us-west-2,47.71,2351.1,On-Demand,Dept_B,User_1,Running
2023-01-04 05:00:00,S3,i-87654321,ap-southeast-1,37.8,4610.54,On-Demand,Dept_C,User_5,Terminated
2023-01-04 07:00:00,S3,vol-12345678,ap-southeast-1,90.07,1399.33,Spot,Dept_C,User_5,Running
2023-01-04 10:00:00,RDS,bucket-12345,ap-southeast-1,23.02,620.35,On-Demand,Dept_C,User_1,Stopped
2023-01-04 11:00:00,VPC,bucket-12345,us-east-1,18.42,3663.44,Reserved,Dept_C,User_2,Stopped
